projectId,status,updateTime,lenderName,gender,idCard,age,marryCodition,childrenNum,livePlace,domicileLocus,liveYears,education,isReligionBelief,isRaisePet,occupation,occupationYear,job,jobTitle,isSocialInsure,socialInsureMonths,stableWorkYears,isBizExperience,personalIncome,familyIncome,houseNum,houseTotalAmount,carNum,carTotalAmount,merInsureAmount,commonUseMobileNumber,isMobileAuth,mobileNumberNum,moblieUseLongestYears,contactMoreThreeTimesPeoNum,zfbAccountName,zfbLastYearConsumeAmount,tbAccountName,tbSellerCreditLevel,tbDeliveryAddrNum,jdAccountName,jdAccountLevel,jdLastYearConsumeAmount,jdDeliveryAddrNum,mtAccountName,mtAccountLevel,mtThreeMonthConsumeAmount,dzdpAccountName,dzdpAccountLevel,dzdpThreeMonthConsumeAmount,wechatFriendsNum,wechatGroupNum,isEmailAuth,isBlogAuth,creditPassedNum,creditValidNum,creditSingleHighestAmount,creditOverdueNum,creditOverdueNinetyNum,creditOverdrawSixtyLongestTime,creditOverdueNinetyLongestTime,creditOverdrawSixtyLongestTime,creditOverdrawNinetyLongestTime,debitCardNum,houseLoanBalance,houseLoanOverdueLongestTime,houseLoanOverdueNinetyLongestTime,otherLoanBalance,otherLoanOverdueLongestTime,otherLoanOverdueNinetyLongestTime,assetsDealNum,assetsDealTotalAmount,guarantorReturnNum,guarantorReturnTotalAmount,guaranteeBalance,oweTaxAnoumt,isOwedWater,waterFeeOweAmount,isOwedElec,elecFeeOweAmount,isOwedGas,gasFeeOweAmount,dxFeeOweAmount,courtExecNum,discreditCourtExecNum,forceExecNum,forceExecAmount,adminPunishNum,carIlleglNum,sesameCreditScore,threeYearsTourNum,threeYearsMoveNum,interestHobbies,consumePreferences,commonUseEcommerce,isWearWatch
10000010000000001,9,2015-05-05 18:06:43,郑浩,1,6221431015652016,52,0,1,null,null,42,4,1,1,null,7,7,2,2,197,4,1,12000,32000,0,1.68E7,3,170000.0,1510000.0,null,1,0,5,7,0,30000.0,null,514000,16,null,0,0.0,0,null,0,0.0,null,0,0.0,145,11,1,1,5,4,423000.0,0,4,19,5,5,5,4,920000.0,6,22,670000.0,8,19,1,0.0,0,450000.0,30000.0,2270000.0,null,172.0,null,2050.0,null,0.0,72.0,6,6,3,44.0,1,1,645,7,9,null,null,null,1
10000010000000002,10,2015-03-31 18:06:43,赵月月,0,9349567098718713,60,1,3,null,null,51,0,1,1,null,8,6,2,1,98,7,1,12000,35000,2,2200000.0,3,680000.0,2970000.0,null,1,0,9,0,0,0.0,null,975000,5,null,0,0.0,0,null,0,0.0,null,0,0.0,196,2,1,1,6,0,793000.0,3,5,1,1,19,9,2,1920000.0,24,16,1420000.0,9,19,0,0.0,2,460000.0,900000.0,2900000.0,null,84.0,null,0.0,null,211.0,29.0,6,6,3,148.0,2,2,356,7,5,null,null,null,0
10000010000000003,10,2015-04-10 18:06:43,周月月,0,8771178773500103,18,3,1,null,null,4,7,1,1,null,39,4,0,1,13,7,0,11000,48000,4,3.41E7,2,1430000.0,2050000.0,null,0,1,2,13,0,10000.0,null,714000,9,null,0,0.0,0,null,0,0.0,null,0,0.0,107,13,1,1,1,0,333000.0,0,0,18,9,22,15,4,1150000.0,14,3,2650000.0,2,21,1,90000.0,1,580000.0,700000.0,2490000.0,null,0.0,null,2040.0,null,0.0,190.0,6,6,3,63.0,1,2,568,1,2,null,null,null,0
10000010000000004,9,2015-03-24 18:06:43,陈阳,0,2401631016647972,54,0,1,null,null,36,3,0,0,null,21,4,2,0,123,17,1,37000,44000,0,2.89E7,0,570000.0,1550000.0,null,1,2,8,8,1,100000.0,null,793000,17,null,0,0.0,0,null,0,0.0,null,0,0.0,43,4,0,0,2,0,253000.0,0,1,13,4,18,16,2,440000.0,13,14,1820000.0,3,13,0,90000.0,0,650000.0,1470000.0,2680000.0,null,0.0,null,1970.0,null,258.0,243.0,5,5,2,239.0,3,0,526,4,8,null,null,null,1
10000010000000005,10,2015-05-04 18:06:43,韩亮亮,1,8614351711856366,26,1,3,null,null,42,6,0,1,null,35,2,0,1,77,4,0,21000,43000,1,1.97E7,1,1800000.0,2090000.0,null,0,1,8,5,1,90000.0,null,86000,2,null,0,0.0,0,null,0,0.0,null,0,0.0,69,19,0,0,3,0,213000.0,1,0,23,9,24,21,0,240000.0,5,8,1950000.0,0,15,0,90000.0,0,410000.0,1870000.0,230000.0,null,0.0,null,0.0,null,0.0,182.0,6,6,3,183.0,0,3,678,8,5,null,null,null,0
10000010000000006,9,2015-03-26 18:06:43,朱浩,0,6606048338411985,30,1,3,null,null,30,5,0,1,null,4,6,0,2,116,2,0,39000,43000,1,1.15E7,1,2620000.0,1530000.0,null,0,1,0,20,1,90000.0,null,207000,1,null,0,0.0,0,null,0,0.0,null,0,0.0,78,1,0,0,5,4,413000.0,2,0,7,10,5,15,3,390000.0,24,6,1910000.0,21,18,1,50000.0,0,450000.0,2560000.0,830000.0,null,0.0,null,0.0,null,173.0,129.0,6,6,3,127.0,3,1,607,6,0,null,null,null,1
10000010000000007,9,2015-05-12 18:06:43,朱修,1,68973366323627,26,3,1,null,null,27,5,0,0,null,20,7,2,0,18,2,0,2000,37000,3,3.84E7,3,550000.0,2710000.0,null,0,1,4,8,1,40000.0,null,811000,8,null,0,0.0,0,null,0,0.0,null,0,0.0,24,12,0,0,6,1,943000.0,0,3,9,16,22,22,4,1950000.0,7,14,2850000.0,7,16,2,60000.0,2,640000.0,1080000.0,2820000.0,null,232.0,null,1560.0,null,144.0,196.0,5,5,2,63.0,3,3,678,6,7,null,null,null,0
10000010000000008,9,2015-03-20 18:06:43,钱月月,1,1761813724431226,33,0,0,null,null,0,4,1,0,null,16,1,2,1,200,1,1,8000,45000,2,4100000.0,1,30000.0,2600000.0,null,1,2,6,20,1,10000.0,null,684000,19,null,0,0.0,0,null,0,0.0,null,0,0.0,99,2,1,1,4,3,353000.0,3,2,17,16,23,15,5,1390000.0,4,3,380000.0,1,10,2,100000.0,0,0.0,1680000.0,150000.0,null,0.0,null,0.0,null,177.0,37.0,6,6,3,147.0,0,2,726,6,10,null,null,null,1
10000010000000009,9,2015-06-03 18:06:43,陈星,0,130273504342485,26,1,0,null,null,37,1,1,0,null,36,6,2,0,36,11,0,33000,66000,3,5400000.0,1,30000.0,1380000.0,null,1,1,3,13,1,20000.0,null,996000,5,null,0,0.0,0,null,0,0.0,null,0,0.0,106,15,1,1,5,2,3000.0,1,3,15,16,23,6,2,1360000.0,3,5,2290000.0,18,21,1,30000.0,0,880000.0,530000.0,1350000.0,null,0.0,null,450.0,null,0.0,205.0,6,6,3,110.0,1,2,720,3,8,null,null,null,1
10000010000000010,9,2015-05-08 18:06:43,张星,0,9828955587261933,30,2,3,null,null,56,3,0,1,null,30,5,2,1,5,2,1,4000,9000,1,1.87E7,1,1280000.0,2770000.0,null,0,1,10,17,0,10000.0,null,242000,6,null,0,0.0,0,null,0,0.0,null,0,0.0,72,3,0,0,6,4,733000.0,0,0,0,23,12,22,4,1660000.0,4,21,2870000.0,1,20,2,20000.0,2,330000.0,2280000.0,2240000.0,null,249.0,null,2470.0,null,272.0,296.0,5,5,2,0.0,0,5,660,4,1,null,null,null,0
10000010000000011,9,2015-04-18 18:06:43,胡晓东,1,574794728862774,21,3,2,null,null,8,2,0,1,null,14,0,0,2,106,5,1,22000,30000,4,5000000.0,3,2970000.0,1900000.0,null,0,3,8,14,1,20000.0,null,37000,2,null,0,0.0,0,null,0,0.0,null,0,0.0,142,18,0,0,6,0,773000.0,0,0,10,11,22,5,4,1950000.0,18,19,910000.0,0,4,2,50000.0,1,140000.0,2960000.0,1110000.0,null,0.0,null,0.0,null,248.0,44.0,6,6,3,141.0,1,5,654,7,3,null,null,null,0
10000010000000012,10,2015-05-22 18:06:43,刘星,1,32424214591473,46,3,0,null,null,51,3,1,1,null,32,4,1,1,132,22,0,28000,36000,2,2.46E7,2,1650000.0,2840000.0,null,1,3,7,3,0,50000.0,null,706000,4,null,0,0.0,0,null,0,0.0,null,0,0.0,20,4,0,0,2,0,83000.0,0,0,20,18,6,11,6,170000.0,13,21,1010000.0,15,16,2,60000.0,2,940000.0,560000.0,720000.0,null,0.0,null,2190.0,null,272.0,186.0,4,4,1,122.0,0,6,596,7,9,null,null,null,1
10000010000000013,9,2015-03-22 18:06:43,何花,1,4316605809878418,31,2,2,null,null,10,2,0,0,null,13,6,1,0,78,3,0,15000,29000,1,2.15E7,2,180000.0,2650000.0,null,1,3,1,4,1,20000.0,null,470000,20,null,0,0.0,0,null,0,0.0,null,0,0.0,103,4,1,1,3,0,883000.0,0,1,4,8,1,22,2,1190000.0,22,12,2480000.0,9,14,1,90000.0,1,960000.0,2890000.0,870000.0,null,40.0,null,890.0,null,0.0,121.0,4,4,1,3.0,3,2,385,8,10,null,null,null,1
10000010000000014,10,2015-06-09 18:06:43,冯天明,1,1623206254414009,28,1,1,null,null,4,2,0,1,null,22,2,1,0,23,13,0,18000,35000,4,1.74E7,0,2140000.0,1550000.0,null,1,0,2,15,0,10000.0,null,418000,11,null,0,0.0,0,null,0,0.0,null,0,0.0,57,2,0,0,4,2,763000.0,1,1,7,2,4,4,2,1030000.0,23,16,1720000.0,11,20,0,70000.0,1,740000.0,2730000.0,260000.0,null,111.0,null,0.0,null,208.0,290.0,4,4,1,178.0,0,2,672,8,6,null,null,null,1
10000010000000015,9,2015-06-02 18:06:43,蒋娜娜,1,289933054555347,26,0,0,null,null,34,1,1,0,null,14,5,1,1,102,0,0,23000,44000,2,2.29E7,1,1780000.0,1480000.0,null,0,1,9,18,1,30000.0,null,783000,4,null,0,0.0,0,null,0,0.0,null,0,0.0,131,10,0,0,5,1,383000.0,0,4,3,8,22,15,0,50000.0,0,19,1940000.0,18,13,2,50000.0,0,70000.0,2210000.0,1110000.0,null,113.0,null,680.0,null,172.0,284.0,4,4,1,290.0,0,4,406,3,7,null,null,null,1
10000010000000016,9,2015-05-31 18:06:43,卫夜,1,4335697703457476,35,3,2,null,null,19,6,1,0,null,17,1,1,0,52,1,1,12000,13000,4,3.96E7,2,1650000.0,2170000.0,null,0,0,4,6,0,80000.0,null,250000,4,null,0,0.0,0,null,0,0.0,null,0,0.0,76,3,1,1,4,2,523000.0,0,2,19,22,4,15,3,490000.0,12,23,170000.0,23,5,0,20000.0,2,750000.0,610000.0,320000.0,null,0.0,null,0.0,null,292.0,252.0,6,6,3,167.0,2,5,531,2,7,null,null,null,1
10000010000000017,10,2015-05-30 18:06:43,沈晓东,0,400599534445715,47,0,3,null,null,7,6,1,0,null,19,7,1,1,120,7,0,17000,43000,3,2.1E7,2,1900000.0,1450000.0,null,0,0,4,5,1,70000.0,null,76000,11,null,0,0.0,0,null,0,0.0,null,0,0.0,106,0,0,0,5,4,443000.0,0,0,23,12,23,21,6,1470000.0,15,21,1120000.0,4,21,2,40000.0,1,740000.0,2400000.0,1300000.0,null,0.0,null,2450.0,null,0.0,33.0,5,5,2,255.0,0,0,400,8,9,null,null,null,0
10000010000000018,9,2015-03-30 18:06:43,李星,1,1775344233334724,56,0,1,null,null,58,5,1,0,null,5,3,0,1,144,1,1,15000,31000,3,3.61E7,3,610000.0,290000.0,null,0,2,4,4,0,100000.0,null,719000,14,null,0,0.0,0,null,0,0.0,null,0,0.0,174,2,0,0,1,0,923000.0,0,0,17,7,13,10,0,830000.0,9,5,820000.0,23,3,1,10000.0,1,970000.0,1100000.0,1700000.0,null,0.0,null,960.0,null,0.0,121.0,5,5,2,287.0,0,2,567,7,0,null,null,null,0
10000010000000019,10,2015-06-09 18:06:43,何天明,0,7920076621804665,18,3,2,null,null,29,1,0,0,null,10,0,0,2,79,6,1,23000,42000,3,2.26E7,0,730000.0,1750000.0,null,0,1,9,16,1,60000.0,null,352000,14,null,0,0.0,0,null,0,0.0,null,0,0.0,166,6,0,0,5,4,453000.0,4,2,16,14,0,19,6,690000.0,16,24,1160000.0,22,2,0,60000.0,2,560000.0,2510000.0,370000.0,null,0.0,null,110.0,null,0.0,282.0,4,4,1,81.0,2,4,651,4,0,null,null,null,1
