projectId,status,updateTime,guaranteeWay,guaranteeContent,guarantorOrAgency,extraGuarantee
10000010000000001,9,2015-05-05 18:06:43,0,0,王年,1
10000010000000002,10,2015-03-31 18:06:43,0,0,蒋浙东,1
10000010000000003,10,2015-04-10 18:06:43,1,1,沈亮亮,0
10000010000000004,9,2015-03-24 18:06:43,0,1,李浙东,0
10000010000000005,10,2015-05-04 18:06:43,0,0,沈楠楠,0
10000010000000006,9,2015-03-26 18:06:43,1,1,陈花,1
10000010000000007,9,2015-05-12 18:06:43,0,1,郑夜,0
10000010000000008,9,2015-03-20 18:06:43,0,1,李晓东,0
10000010000000009,9,2015-06-03 18:06:43,1,0,郑花,1
10000010000000010,9,2015-05-08 18:06:43,0,1,潘龙,0
10000010000000011,9,2015-04-18 18:06:43,0,0,潘雨,1
10000010000000012,10,2015-05-22 18:06:43,0,1,卫一菲,1
10000010000000013,9,2015-03-22 18:06:43,0,1,韩阳,0
10000010000000014,10,2015-06-09 18:06:43,0,1,周天明,1
10000010000000015,9,2015-06-02 18:06:43,1,0,钱阳,1
10000010000000016,9,2015-05-31 18:06:43,0,0,张赏,1
10000010000000017,10,2015-05-30 18:06:43,0,0,张浙东,1
10000010000000018,9,2015-03-30 18:06:43,0,1,朱浙东,0
10000010000000019,10,2015-06-09 18:06:43,1,0,赵浙东,0
10000010000000020,10,2015-06-07 18:06:43,1,1,韩修,1
10000010000000021,9,2015-05-23 18:06:43,1,1,潘亮亮,1
10000010000000022,9,2015-05-03 18:06:43,1,0,朱娜娜,0
10000010000000023,10,2015-04-11 18:06:43,0,1,张雨,0
10000010000000024,10,2015-04-18 18:06:43,0,0,李明浩,0
10000010000000025,10,2015-06-04 18:06:43,0,0,张明浩,0
10000010000000026,10,2015-04-18 18:06:43,1,1,吴修,0
10000010000000027,9,2015-03-16 18:06:43,0,1,何静,1
10000010000000028,10,2015-04-07 18:06:43,1,1,柳总,1
10000010000000029,9,2015-03-22 18:06:43,1,0,王花,1
10000010000000030,10,2015-04-04 18:06:43,0,0,孙晓东,1
10000010000000031,9,2015-04-22 18:06:43,0,1,沈夜,0
10000010000000032,10,2015-05-17 18:06:43,1,0,朱峰,0
10000010000000033,9,2015-04-09 18:06:43,0,0,李年,0
10000010000000034,9,2015-04-06 18:06:43,1,0,冯明浩,1
10000010000000035,10,2015-05-01 18:06:43,0,0,韩晓东,0
10000010000000036,10,2015-05-07 18:06:43,0,0,杨花,0
10000010000000037,10,2015-05-29 18:06:43,0,1,吴一菲,1
10000010000000038,10,2015-05-26 18:06:43,0,0,赵峰,1
10000010000000039,9,2015-04-03 18:06:43,0,0,王赏,1
10000010000000040,9,2015-03-18 18:06:43,1,1,赵浙东,1
10000010000000041,10,2015-03-18 18:06:43,1,0,郑月月,0
10000010000000042,10,2015-05-28 18:06:43,0,1,杨星,0
10000010000000043,10,2015-03-16 18:06:43,1,0,郑静,1
10000010000000044,10,2015-06-08 18:06:43,0,1,吴浩,0
10000010000000045,9,2015-05-08 18:06:43,0,0,潘浩,1
10000010000000046,9,2015-03-19 18:06:43,0,0,钱浩,0
10000010000000047,10,2015-03-25 18:06:43,0,0,何小小,0
10000010000000048,10,2015-05-31 18:06:43,0,0,王年,0
10000010000000049,10,2015-03-13 18:06:43,1,0,王夜,0
10000010000000050,9,2015-03-15 18:06:43,1,1,杨浩,1
10000010000000051,9,2015-05-24 18:06:43,1,1,蒋静,0
10000010000000052,10,2015-04-16 18:06:43,0,0,陈月月,1
10000010000000053,10,2015-06-06 18:06:43,0,0,柳龙,0
10000010000000054,10,2015-03-23 18:06:43,0,0,刘星,0
10000010000000055,10,2015-03-24 18:06:43,1,1,吴花,0
10000010000000056,9,2015-04-05 18:06:43,1,1,王赏,0
10000010000000057,9,2015-04-13 18:06:43,0,0,钱年,1
10000010000000058,9,2015-04-07 18:06:43,1,0,周总,1
10000010000000059,9,2015-05-26 18:06:43,1,1,赵修,1
10000010000000060,9,2015-03-28 18:06:43,0,0,李浙东,0
10000010000000061,9,2015-05-01 18:06:43,1,1,赵夜,0
10000010000000062,10,2015-05-14 18:06:43,1,1,钱年,0
10000010000000063,10,2015-05-11 18:06:43,0,1,冯楠楠,0
10000010000000064,9,2015-05-07 18:06:43,1,0,马亮亮,0
10000010000000065,10,2015-03-26 18:06:43,1,0,冯浩,1
10000010000000066,10,2015-05-11 18:06:43,0,1,钱赏,0
10000010000000067,9,2015-04-14 18:06:43,1,0,胡楠楠,1
10000010000000068,10,2015-05-08 18:06:43,0,0,蒋贤重,1
10000010000000069,9,2015-03-25 18:06:43,1,1,张修,0
10000010000000070,10,2015-05-19 18:06:43,1,1,孙阳,1
10000010000000071,10,2015-03-25 18:06:43,0,1,蒋静,1
10000010000000072,10,2015-05-13 18:06:43,0,0,何花,1
10000010000000073,9,2015-03-18 18:06:43,1,0,杨浩,1
10000010000000074,10,2015-04-26 18:06:43,0,0,王雨,0
10000010000000075,10,2015-05-30 18:06:43,0,1,陈赏,1
10000010000000076,10,2015-04-12 18:06:43,1,1,朱浩,1
10000010000000077,10,2015-06-08 18:06:43,1,0,柳峰,1
10000010000000078,9,2015-03-31 18:06:43,1,0,周峰,1
10000010000000079,9,2015-04-24 18:06:43,1,0,李峰,1
10000010000000080,9,2015-04-23 18:06:43,1,0,李贤重,0
10000010000000081,9,2015-05-30 18:06:43,0,1,陈月月,0
10000010000000082,9,2015-04-05 18:06:43,1,1,钱浩,1
10000010000000083,9,2015-05-03 18:06:43,0,1,李总,0
10000010000000084,9,2015-04-27 18:06:43,1,0,王晓东,0
10000010000000085,10,2015-03-23 18:06:43,1,0,何娜娜,0
10000010000000086,9,2015-05-09 18:06:43,0,1,朱浙东,1
10000010000000087,9,2015-04-23 18:06:43,1,0,钱浙东,1
10000010000000088,10,2015-04-12 18:06:43,1,0,蒋月月,1
10000010000000089,9,2015-03-24 18:06:43,0,0,吴小小,1
10000010000000090,10,2015-05-19 18:06:43,1,1,钱一菲,0
10000010000000091,10,2015-04-02 18:06:44,1,1,钱花,0
10000010000000092,9,2015-04-16 18:06:44,1,0,韩晓东,0
10000010000000093,9,2015-03-19 18:06:44,1,1,柳雨,1
